"PC_1","PC_2","Type"
-19.6824468,3.5277482,3
-22.9081202,6.3909377,3
-27.240769,2.4458085,3
-42.4809776,-9.6917425,2
-54.983868,-5.1581208,2
-26.9648816,6.7271224,3
-31.1992995,3.833763,3
-22.1571766,10.3148723,3
-14.1778412,15.9830798,3
-29.5147954,23.8050152,3
-30.505769,9.804459,3
-34.1444109,9.6680128,3
-16.9027211,14.8327178,3
-25.0236928,16.7201948,3
-28.9010352,18.0345905,3
-21.7386759,23.6978565,3
-13.2951269,24.2577018,3
-17.5786595,14.2685419,3
-33.7678195,4.5015873,3
-16.6016443,5.2452999,3
-4.6153548,15.765255,3
-9.7853734,25.5883474,3
-2.897854,2.8597761,3
4.4607879,2.2719939,3
3.9739304,8.7150294,3
-13.0032284,6.7638738,3
3.9985577,7.5164675,3
-11.9962072,24.5617087,3
-4.8887301,15.3450366,3
-5.3215208,14.8463359,3
-19.8856001,4.9348832,3
-4.2157126,12.0178924,3
0.8420952,4.016747,3
26.5360885,-17.4902298,4
51.532099,-8.1694782,4
55.21524,-9.8539184,4
58.0052706,-12.6781217,4
55.1811442,-9.9173451,4
69.2306453,-1.2833252,4
59.4630405,0.5614815,4
25.5283133,-6.758703,4
14.8514025,9.0602009,3
36.9168149,10.1742588,3
26.5733708,15.7440098,3
19.7973719,17.8184216,3
18.0635216,9.4928872,3
28.8402175,7.523387,3
20.9318757,21.1989377,3
38.2846016,12.7048829,3
35.5156365,6.0771476,3
30.4820039,7.6084837,3
11.593387,1.9584319,3
0.2350256,17.449253,3
7.4035498,2.7144725,3
14.6102109,3.1143625,3
-2.552419,-52.9309757,1
-8.874667,-58.4462469,1
-5.2844755,-60.5765712,1
-17.7978205,-39.9871122,1
-17.8550927,-46.8718794,1
-4.3808782,-41.9777185,1
-22.7868515,-35.8188808,1
-19.0256048,-50.0031529,1
-13.129081,-34.8497528,1
